FIPSCode,State,County,County_Status,Data_Source
01085,AL,Lowndes County,No records,CDC ArboNET Tick Module historical data
01087,AL,Macon County,No records,CDC ArboNET Tick Module historical data
01089,AL,Madison County,No records,CDC ArboNET Tick Module historical data
01091,AL,Marengo County,No records,CDC ArboNET Tick Module historical data
01093,AL,Marion County,No records,CDC ArboNET Tick Module historical data
01095,AL,Marshall County,No records,CDC ArboNET Tick Module historical data
01097,AL,Mobile County,No records,CDC ArboNET Tick Module historical data
01099,AL,Monroe County,No records,CDC ArboNET Tick Module historical data
01101,AL,Montgomery County,No records,CDC ArboNET Tick Module historical data
01103,AL,Morgan County,No records,CDC ArboNET Tick Module historical data
01105,AL,Perry County,No records,CDC ArboNET Tick Module historical data
01107,AL,Pickens County,No records,CDC ArboNET Tick Module historical data
01109,AL,Pike County,No records,CDC ArboNET Tick Module historical data
01111,AL,Randolph County,No records,CDC ArboNET Tick Module historical data
01113,AL,Russell County,No records,CDC ArboNET Tick Module historical data
01115,AL,St. Clair County,No records,CDC ArboNET Tick Module historical data
01117,AL,Shelby County,No records,CDC ArboNET Tick Module historical data
01119,AL,Sumter County,No records,CDC ArboNET Tick Module historical data
01121,AL,Talladega County,No records,CDC ArboNET Tick Module historical data
01123,AL,Tallapoosa County,No records,CDC ArboNET Tick Module historical data
01125,AL,Tuscaloosa County,No records,CDC ArboNET Tick Module historical data
01127,AL,Walker County,No records,CDC ArboNET Tick Module historical data
01129,AL,Washington County,No records,CDC ArboNET Tick Module historical data
01131,AL,Wilcox County,No records,CDC ArboNET Tick Module historical data
01133,AL,Winston County,No records,CDC ArboNET Tick Module historical data
04001,AZ,Apache County,No records,CDC ArboNET Tick Module historical data
04003,AZ,Cochise County,No records,CDC ArboNET Tick Module historical data
04005,AZ,Coconino County,No records,CDC ArboNET Tick Module historical data
04007,AZ,Gila County,No records,CDC ArboNET Tick Module historical data
04009,AZ,Graham County,No records,CDC ArboNET Tick Module historical data
04011,AZ,Greenlee County,No records,CDC ArboNET Tick Module historical data
04012,AZ,La Paz County,No records,CDC ArboNET Tick Module historical data
04013,AZ,Maricopa County,No records,CDC ArboNET Tick Module historical data
04015,AZ,Mohave County,Established,CDC ArboNET Tick Module historical data
04017,AZ,Navajo County,No records,CDC ArboNET Tick Module historical data
04019,AZ,Pima County,No records,CDC ArboNET Tick Module historical data
04021,AZ,Pinal County,No records,CDC ArboNET Tick Module historical data
04023,AZ,Santa Cruz County,No records,CDC ArboNET Tick Module historical data
04025,AZ,Yavapai County,No records,CDC ArboNET Tick Module historical data
04027,AZ,Yuma County,No records,CDC ArboNET Tick Module historical data
05001,AR,Arkansas County,No records,CDC ArboNET Tick Module historical data
05003,AR,Ashley County,No records,CDC ArboNET Tick Module historical data
05005,AR,Baxter County,No records,CDC ArboNET Tick Module historical data
05007,AR,Benton County,No records,CDC ArboNET Tick Module historical data
05009,AR,Boone County,No records,CDC ArboNET Tick Module historical data
05011,AR,Bradley County,No records,CDC ArboNET Tick Module historical data
05013,AR,Calhoun County,No records,CDC ArboNET Tick Module historical data
05015,AR,Carroll County,No records,CDC ArboNET Tick Module historical data
05017,AR,Chicot County,No records,CDC ArboNET Tick Module historical data
05019,AR,Clark County,No records,CDC ArboNET Tick Module historical data
05021,AR,Clay County,No records,CDC ArboNET Tick Module historical data
05023,AR,Cleburne County,No records,CDC ArboNET Tick Module historical data
05025,AR,Cleveland County,No records,CDC ArboNET Tick Module historical data
05027,AR,Columbia County,No records,CDC ArboNET Tick Module historical data
05029,AR,Conway County,No records,CDC ArboNET Tick Module historical data
05031,AR,Craighead County,No records,CDC ArboNET Tick Module historical data
05033,AR,Crawford County,No records,CDC ArboNET Tick Module historical data
05035,AR,Crittenden County,No records,CDC ArboNET Tick Module historical data
05037,AR,Cross County,No records,CDC ArboNET Tick Module historical data
05039,AR,Dallas County,No records,CDC ArboNET Tick Module historical data
05041,AR,Desha County,No records,CDC ArboNET Tick Module historical data
05043,AR,Drew County,No records,CDC ArboNET Tick Module historical data
05045,AR,Faulkner County,No records,CDC ArboNET Tick Module historical data
05047,AR,Franklin County,No records,CDC ArboNET Tick Module historical data
05049,AR,Fulton County,No records,CDC ArboNET Tick Module historical data
05051,AR,Garland County,No records,CDC ArboNET Tick Module historical data
05053,AR,Grant County,No records,CDC ArboNET Tick Module historical data
05055,AR,Greene County,No records,CDC ArboNET Tick Module historical data
05057,AR,Hempstead County,No records,CDC ArboNET Tick Module historical data
05059,AR,Hot Spring County,No records,CDC ArboNET Tick Module historical data
05061,AR,Howard County,No records,CDC ArboNET Tick Module historical data
05063,AR,Independence County,No records,CDC ArboNET Tick Module historical data
05065,AR,Izard County,No records,CDC ArboNET Tick Module historical data
05067,AR,Jackson County,No records,CDC ArboNET Tick Module historical data
05069,AR,Jefferson County,No records,CDC ArboNET Tick Module historical data
05071,AR,Johnson County,No records,CDC ArboNET Tick Module historical data
05073,AR,Lafayette County,No records,CDC ArboNET Tick Module historical data
05075,AR,Lawrence County,No records,CDC ArboNET Tick Module historical data
05077,AR,Lee County,No records,CDC ArboNET Tick Module historical data
05079,AR,Lincoln County,No records,CDC ArboNET Tick Module historical data
05081,AR,Little River County,No records,CDC ArboNET Tick Module historical data
05083,AR,Logan County,No records,CDC ArboNET Tick Module historical data
05085,AR,Lonoke County,No records,CDC ArboNET Tick Module historical data
05087,AR,Madison County,No records,CDC ArboNET Tick Module historical data
05089,AR,Marion County,No records,CDC ArboNET Tick Module historical data
05091,AR,Miller County,No records,CDC ArboNET Tick Module historical data
05093,AR,Mississippi County,No records,CDC ArboNET Tick Module historical data
05095,AR,Monroe County,No records,CDC ArboNET Tick Module historical data
05097,AR,Montgomery County,No records,CDC ArboNET Tick Module historical data
05099,AR,Nevada County,No records,CDC ArboNET Tick Module historical data
05101,AR,Newton County,No records,CDC ArboNET Tick Module historical data
05103,AR,Ouachita County,No records,CDC ArboNET Tick Module historical data
05105,AR,Perry County,No records,CDC ArboNET Tick Module historical data
05107,AR,Phillips County,No records,CDC ArboNET Tick Module historical data
05109,AR,Pike County,No records,CDC ArboNET Tick Module historical data
05111,AR,Poinsett County,No records,CDC ArboNET Tick Module historical data
05113,AR,Polk County,No records,CDC ArboNET Tick Module historical data
05115,AR,Pope County,No records,CDC ArboNET Tick Module historical data
05117,AR,Prairie County,No records,CDC ArboNET Tick Module historical data
05119,AR,Pulaski County,No records,CDC ArboNET Tick Module historical data
05121,AR,Randolph County,No records,CDC ArboNET Tick Module historical data
05123,AR,St. Francis County,No records,CDC ArboNET Tick Module historical data
05125,AR,Saline County,No records,CDC ArboNET Tick Module historical data
05127,AR,Scott County,No records,CDC ArboNET Tick Module historical data
05129,AR,Searcy County,No records,CDC ArboNET Tick Module historical data
05131,AR,Sebastian County,No records,CDC ArboNET Tick Module historical data
05133,AR,Sevier County,No records,CDC ArboNET Tick Module historical data
05135,AR,Sharp County,No records,CDC ArboNET Tick Module historical data
05137,AR,Stone County,No records,CDC ArboNET Tick Module historical data
05139,AR,Union County,No records,CDC ArboNET Tick Module historical data
05141,AR,Van Buren County,No records,CDC ArboNET Tick Module historical data
05143,AR,Washington County,No records,CDC ArboNET Tick Module historical data
05145,AR,White County,No records,CDC ArboNET Tick Module historical data
05147,AR,Woodruff County,No records,CDC ArboNET Tick Module historical data
05149,AR,Yell County,No records,CDC ArboNET Tick Module historical data
06001,CA,Alameda County,Established,CDC ArboNET Tick Module historical data
06003,CA,Alpine County,No records,CDC ArboNET Tick Module historical data
06005,CA,Amador County,Established,CDC ArboNET Tick Module historical data
06007,CA,Butte County,Established,CDC ArboNET Tick Module historical data
06009,CA,Calaveras County,Established,CDC ArboNET Tick Module historical data
06011,CA,Colusa County,Established,CDC ArboNET Tick Module historical data
06013,CA,Contra Costa County,Established,CDC ArboNET Tick Module historical data
06015,CA,Del Norte County,Established,CDC ArboNET Tick Module historical data
06017,CA,El Dorado County,Established,CDC ArboNET Tick Module historical data
06019,CA,Fresno County,Established,CDC ArboNET Tick Module historical data
06021,CA,Glenn County,Established,CDC ArboNET Tick Module historical data
06023,CA,Humboldt County,Established,CDC ArboNET Tick Module historical data
06025,CA,Imperial County,Established,CDC ArboNET Tick Module historical data
06027,CA,Inyo County,Established,CDC ArboNET Tick Module historical data
06029,CA,Kern County,Established,CDC ArboNET Tick Module historical data
06031,CA,Kings County,Established,CDC ArboNET Tick Module historical data
06033,CA,Lake County,Established,CDC ArboNET Tick Module historical data
06035,CA,Lassen County,Established,CDC ArboNET Tick Module historical data
06037,CA,Los Angeles County,Established,CDC ArboNET Tick Module historical data
06039,CA,Madera County,Established,CDC ArboNET Tick Module historical data
06041,CA,Marin County,Established,CDC ArboNET Tick Module historical data
06043,CA,Mariposa County,Established,CDC ArboNET Tick Module historical data
06045,CA,Mendocino County,Established,CDC ArboNET Tick Module historical data
06047,CA,Merced County,Established,CDC ArboNET Tick Module historical data
06049,CA,Modoc County,No records,CDC ArboNET Tick Module historical data
06051,CA,Mono County,Reported,CDC ArboNET Tick Module historical data
06053,CA,Monterey County,Established,CDC ArboNET Tick Module historical data
06055,CA,Napa County,Established,CDC ArboNET Tick Module historical data
06057,CA,Nevada County,Established,CDC ArboNET Tick Module historical data
06059,CA,Orange County,Established,CDC ArboNET Tick Module historical data
06061,CA,Placer County,Established,CDC ArboNET Tick Module historical data
06063,CA,Plumas County,Established,CDC ArboNET Tick Module historical data
06065,CA,Riverside County,Established,CDC ArboNET Tick Module historical data
06067,CA,Sacramento County,Established,CDC ArboNET Tick Module historical data
06069,CA,San Benito County,Established,CDC ArboNET Tick Module historical data
06071,CA,San Bernardino County,Established,CDC ArboNET Tick Module historical data
06073,CA,San Diego County,Established,CDC ArboNET Tick Module historical data
06075,CA,San Francisco County,Established,CDC ArboNET Tick Module historical data
06077,CA,San Joaquin County,Established,CDC ArboNET Tick Module historical data
06079,CA,San Luis Obispo County,Established,CDC ArboNET Tick Module historical data
06081,CA,San Mateo County,Established,CDC ArboNET Tick Module historical data
06083,CA,Santa Barbara County,Established,CDC ArboNET Tick Module historical data
06085,CA,Santa Clara County,Established,CDC ArboNET Tick Module historical data
06087,CA,Santa Cruz County,Established,CDC ArboNET Tick Module historical data
06089,CA,Shasta County,Established,CDC ArboNET Tick Module historical data
06091,CA,Sierra County,Established,CDC ArboNET Tick Module historical data
06093,CA,Siskiyou County,Established,CDC ArboNET Tick Module historical data
06095,CA,Solano County,Established,CDC ArboNET Tick Module historical data
06097,CA,Sonoma County,Established,CDC ArboNET Tick Module historical data
06099,CA,Stanislaus County,Established,CDC ArboNET Tick Module historical data
06101,CA,Sutter County,Established,CDC ArboNET Tick Module historical data
06103,CA,Tehama County,Established,CDC ArboNET Tick Module historical data
06105,CA,Trinity County,Established,CDC ArboNET Tick Module historical data
06107,CA,Tulare County,Established,CDC ArboNET Tick Module historical data
06109,CA,Tuolumne County,Established,CDC ArboNET Tick Module historical data
06111,CA,Ventura County,Established,CDC ArboNET Tick Module historical data
06113,CA,Yolo County,Established,CDC ArboNET Tick Module historical data
06115,CA,Yuba County,Established,CDC ArboNET Tick Module historical data
08001,CO,Adams County,No records,CDC ArboNET Tick Module historical data
08003,CO,Alamosa County,No records,CDC ArboNET Tick Module historical data
08005,CO,Arapahoe County,No records,CDC ArboNET Tick Module historical data
08007,CO,Archuleta County,No records,CDC ArboNET Tick Module historical data
08009,CO,Baca County,No records,CDC ArboNET Tick Module historical data
08011,CO,Bent County,No records,CDC ArboNET Tick Module historical data
08013,CO,Boulder County,No records,CDC ArboNET Tick Module historical data
08014,CO,Broomfield County,No records,CDC ArboNET Tick Module historical data
08015,CO,Chaffee County,No records,CDC ArboNET Tick Module historical data
08017,CO,Cheyenne County,No records,CDC ArboNET Tick Module historical data
08019,CO,Clear Creek County,No records,CDC ArboNET Tick Module historical data
08021,CO,Conejos County,No records,CDC ArboNET Tick Module historical data
08023,CO,Costilla County,No records,CDC ArboNET Tick Module historical data
08025,CO,Crowley County,No records,CDC ArboNET Tick Module historical data
08027,CO,Custer County,No records,CDC ArboNET Tick Module historical data
08029,CO,Delta County,No records,CDC ArboNET Tick Module historical data
08031,CO,Denver County,No records,CDC ArboNET Tick Module historical data
08033,CO,Dolores County,No records,CDC ArboNET Tick Module historical data
08035,CO,Douglas County,No records,CDC ArboNET Tick Module historical data
08037,CO,Eagle County,No records,CDC ArboNET Tick Module historical data
08039,CO,Elbert County,No records,CDC ArboNET Tick Module historical data
08041,CO,El Paso County,No records,CDC ArboNET Tick Module historical data
08043,CO,Fremont County,No records,CDC ArboNET Tick Module historical data
08045,CO,Garfield County,No records,CDC ArboNET Tick Module historical data
08047,CO,Gilpin County,No records,CDC ArboNET Tick Module historical data
08049,CO,Grand County,No records,CDC ArboNET Tick Module historical data
08051,CO,Gunnison County,No records,CDC ArboNET Tick Module historical data
08053,CO,Hinsdale County,No records,CDC ArboNET Tick Module historical data
08055,CO,Huerfano County,No records,CDC ArboNET Tick Module historical data
08057,CO,Jackson County,No records,CDC ArboNET Tick Module historical data
08059,CO,Jefferson County,No records,CDC ArboNET Tick Module historical data
08061,CO,Kiowa County,No records,CDC ArboNET Tick Module historical data
08063,CO,Kit Carson County,No records,CDC ArboNET Tick Module historical data
08065,CO,Lake County,No records,CDC ArboNET Tick Module historical data
08067,CO,La Plata County,No records,CDC ArboNET Tick Module historical data
08069,CO,Larimer County,No records,CDC ArboNET Tick Module historical data
08071,CO,Las Animas County,No records,CDC ArboNET Tick Module historical data
08073,CO,Lincoln County,No records,CDC ArboNET Tick Module historical data
08075,CO,Logan County,No records,CDC ArboNET Tick Module historical data
08077,CO,Mesa County,No records,CDC ArboNET Tick Module historical data
08079,CO,Mineral County,No records,CDC ArboNET Tick Module historical data
08081,CO,Moffat County,No records,CDC ArboNET Tick Module historical data
08083,CO,Montezuma County,No records,CDC ArboNET Tick Module historical data
08085,CO,Montrose County,No records,CDC ArboNET Tick Module historical data
08087,CO,Morgan County,No records,CDC ArboNET Tick Module historical data
08089,CO,Otero County,No records,CDC ArboNET Tick Module historical data
08091,CO,Ouray County,No records,CDC ArboNET Tick Module historical data
08093,CO,Park County,No records,CDC ArboNET Tick Module historical data
08095,CO,Phillips County,No records,CDC ArboNET Tick Module historical data
08097,CO,Pitkin County,No records,CDC ArboNET Tick Module historical data
08099,CO,Prowers County,No records,CDC ArboNET Tick Module historical data
08101,CO,Pueblo County,No records,CDC ArboNET Tick Module historical data
08103,CO,Rio Blanco County,No records,CDC ArboNET Tick Module historical data
08105,CO,Rio Grande County,No records,CDC ArboNET Tick Module historical data
08107,CO,Routt County,No records,CDC ArboNET Tick Module historical data
08109,CO,Saguache County,No records,CDC ArboNET Tick Module historical data
08111,CO,San Juan County,No records,CDC ArboNET Tick Module historical data
08113,CO,San Miguel County,No records,CDC ArboNET Tick Module historical data
08115,CO,Sedgwick County,No records,CDC ArboNET Tick Module historical data
08117,CO,Summit County,No records,CDC ArboNET Tick Module historical data
08119,CO,Teller County,No records,CDC ArboNET Tick Module historical data
08121,CO,Washington County,No records,CDC ArboNET Tick Module historical data
08123,CO,Weld County,No records,CDC ArboNET Tick Module historical data
08125,CO,Yuma County,No records,CDC ArboNET Tick Module historical data
09001,CT,Fairfield County,No records,CDC ArboNET Tick Module historical data
09003,CT,Hartford County,No records,CDC ArboNET Tick Module historical data
09005,CT,Litchfield County,No records,CDC ArboNET Tick Module historical data
09007,CT,Middlesex County,No records,CDC ArboNET Tick Module historical data
09009,CT,New Haven County,No records,CDC ArboNET Tick Module historical data
09011,CT,New London County,No records,CDC ArboNET Tick Module historical data
09013,CT,Tolland County,No records,CDC ArboNET Tick Module historical data
09015,CT,Windham County,No records,CDC ArboNET Tick Module historical data
10001,DE,Kent County,No records,CDC ArboNET Tick Module historical data
10003,DE,New Castle County,No records,CDC ArboNET Tick Module historical data
10005,DE,Sussex County,No records,CDC ArboNET Tick Module historical data
11001,DC,District of Columbia,No records,CDC ArboNET Tick Module historical data
12001,FL,Alachua County,No records,CDC ArboNET Tick Module historical data
12003,FL,Baker County,No records,CDC ArboNET Tick Module historical data
12005,FL,Bay County,No records,CDC ArboNET Tick Module historical data
12007,FL,Bradford County,No records,CDC ArboNET Tick Module historical data
12009,FL,Brevard County,No records,CDC ArboNET Tick Module historical data
12011,FL,Broward County,No records,CDC ArboNET Tick Module historical data
12013,FL,Calhoun County,No records,CDC ArboNET Tick Module historical data
12015,FL,Charlotte County,No records,CDC ArboNET Tick Module historical data
12017,FL,Citrus County,No records,CDC ArboNET Tick Module historical data
12019,FL,Clay County,No records,CDC ArboNET Tick Module historical data
12021,FL,Collier County,No records,CDC ArboNET Tick Module historical data
12023,FL,Columbia County,No records,CDC ArboNET Tick Module historical data
12027,FL,DeSoto County,No records,CDC ArboNET Tick Module historical data
12029,FL,Dixie County,No records,CDC ArboNET Tick Module historical data
12031,FL,Duval County,No records,CDC ArboNET Tick Module historical data
12033,FL,Escambia County,No records,CDC ArboNET Tick Module historical data
12035,FL,Flagler County,No records,CDC ArboNET Tick Module historical data
12037,FL,Franklin County,No records,CDC ArboNET Tick Module historical data
12039,FL,Gadsden County,No records,CDC ArboNET Tick Module historical data
12041,FL,Gilchrist County,No records,CDC ArboNET Tick Module historical data
12043,FL,Glades County,No records,CDC ArboNET Tick Module historical data
12045,FL,Gulf County,No records,CDC ArboNET Tick Module historical data
12047,FL,Hamilton County,No records,CDC ArboNET Tick Module historical data
12049,FL,Hardee County,No records,CDC ArboNET Tick Module historical data
12051,FL,Hendry County,No records,CDC ArboNET Tick Module historical data
12053,FL,Hernando County,No records,CDC ArboNET Tick Module historical data
12055,FL,Highlands County,No records,CDC ArboNET Tick Module historical data
12057,FL,Hillsborough County,No records,CDC ArboNET Tick Module historical data
12059,FL,Holmes County,No records,CDC ArboNET Tick Module historical data
12061,FL,Indian River County,No records,CDC ArboNET Tick Module historical data
12063,FL,Jackson County,No records,CDC ArboNET Tick Module historical data
12065,FL,Jefferson County,No records,CDC ArboNET Tick Module historical data
12067,FL,Lafayette County,No records,CDC ArboNET Tick Module historical data
12069,FL,Lake County,No records,CDC ArboNET Tick Module historical data
12071,FL,Lee County,No records,CDC ArboNET Tick Module historical data
12073,FL,Leon County,No records,CDC ArboNET Tick Module historical data
12075,FL,Levy County,No records,CDC ArboNET Tick Module historical data
12077,FL,Liberty County,No records,CDC ArboNET Tick Module historical data
12079,FL,Madison County,No records,CDC ArboNET Tick Module historical data
12081,FL,Manatee County,No records,CDC ArboNET Tick Module historical data
12083,FL,Marion County,No records,CDC ArboNET Tick Module historical data
12085,FL,Martin County,No records,CDC ArboNET Tick Module historical data
12086,FL,Miami-Dade County,No records,CDC ArboNET Tick Module historical data
12087,FL,Monroe County,No records,CDC ArboNET Tick Module historical data
12089,FL,Nassau County,No records,CDC ArboNET Tick Module historical data
12091,FL,Okaloosa County,No records,CDC ArboNET Tick Module historical data
12093,FL,Okeechobee County,No records,CDC ArboNET Tick Module historical data
12095,FL,Orange County,No records,CDC ArboNET Tick Module historical data
12097,FL,Osceola County,No records,CDC ArboNET Tick Module historical data
12099,FL,Palm Beach County,No records,CDC ArboNET Tick Module historical data
12101,FL,Pasco County,No records,CDC ArboNET Tick Module historical data
12103,FL,Pinellas County,No records,CDC ArboNET Tick Module historical data
12105,FL,Polk County,No records,CDC ArboNET Tick Module historical data
12107,FL,Putnam County,No records,CDC ArboNET Tick Module historical data
12109,FL,St. Johns County,No records,CDC ArboNET Tick Module historical data
12111,FL,St. Lucie County,No records,CDC ArboNET Tick Module historical data
12113,FL,Santa Rosa County,No records,CDC ArboNET Tick Module historical data
12115,FL,Sarasota County,No records,CDC ArboNET Tick Module historical data
12117,FL,Seminole County,No records,CDC ArboNET Tick Module historical data
12119,FL,Sumter County,No records,CDC ArboNET Tick Module historical data
12121,FL,Suwannee County,No records,CDC ArboNET Tick Module historical data
12123,FL,Taylor County,No records,CDC ArboNET Tick Module historical data
12125,FL,Union County,No records,CDC ArboNET Tick Module historical data
12127,FL,Volusia County,No records,CDC ArboNET Tick Module historical data
12129,FL,Wakulla County,No records,CDC ArboNET Tick Module historical data
12131,FL,Walton County,No records,CDC ArboNET Tick Module historical data
12133,FL,Washington County,No records,CDC ArboNET Tick Module historical data
13001,GA,Appling County,No records,CDC ArboNET Tick Module historical data
13003,GA,Atkinson County,No records,CDC ArboNET Tick Module historical data
13005,GA,Bacon County,No records,CDC ArboNET Tick Module historical data
13007,GA,Baker County,No records,CDC ArboNET Tick Module historical data
13009,GA,Baldwin County,No records,CDC ArboNET Tick Module historical data
13011,GA,Banks County,No records,CDC ArboNET Tick Module historical data
13013,GA,Barrow County,No records,CDC ArboNET Tick Module historical data
13015,GA,Bartow County,No records,CDC ArboNET Tick Module historical data
13017,GA,Ben Hill County,No records,CDC ArboNET Tick Module historical data
13019,GA,Berrien County,No records,CDC ArboNET Tick Module historical data
13021,GA,Bibb County,No records,CDC ArboNET Tick Module historical data
13023,GA,Bleckley County,No records,CDC ArboNET Tick Module historical data
13025,GA,Brantley County,No records,CDC ArboNET Tick Module historical data
13027,GA,Brooks County,No records,CDC ArboNET Tick Module historical data
13029,GA,Bryan County,No records,CDC ArboNET Tick Module historical data
13031,GA,Bulloch County,No records,CDC ArboNET Tick Module historical data
13033,GA,Burke County,No records,CDC ArboNET Tick Module historical data
13035,GA,Butts County,No records,CDC ArboNET Tick Module historical data
13037,GA,Calhoun County,No records,CDC ArboNET Tick Module historical data
13039,GA,Camden County,No records,CDC ArboNET Tick Module historical data
13043,GA,Candler County,No records,CDC ArboNET Tick Module historical data
13045,GA,Carroll County,No records,CDC ArboNET Tick Module historical data
13047,GA,Catoosa County,No records,CDC ArboNET Tick Module historical data
13049,GA,Charlton County,No records,CDC ArboNET Tick Module historical data
13051,GA,Chatham County,No records,CDC ArboNET Tick Module historical data
13053,GA,Chattahoochee County,No records,CDC ArboNET Tick Module historical data
13055,GA,Chattooga County,No records,CDC ArboNET Tick Module historical data
13057,GA,Cherokee County,No records,CDC ArboNET Tick Module historical data
13059,GA,Clarke County,No records,CDC ArboNET Tick Module historical data
13061,GA,Clay County,No records,CDC ArboNET Tick Module historical data
13063,GA,Clayton County,No records,CDC ArboNET Tick Module historical data
13065,GA,Clinch County,No records,CDC ArboNET Tick Module historical data
13067,GA,Cobb County,No records,CDC ArboNET Tick Module historical data
13069,GA,Coffee County,No records,CDC ArboNET Tick Module historical data
13071,GA,Colquitt County,No records,CDC ArboNET Tick Module historical data
13073,GA,Columbia County,No records,CDC ArboNET Tick Module historical data
13075,GA,Cook County,No records,CDC ArboNET Tick Module historical data
13077,GA,Coweta County,No records,CDC ArboNET Tick Module historical data
13079,GA,Crawford County,No records,CDC ArboNET Tick Module historical data
13081,GA,Crisp County,No records,CDC ArboNET Tick Module historical data
13083,GA,Dade County,No records,CDC ArboNET Tick Module historical data
13085,GA,Dawson County,No records,CDC ArboNET Tick Module historical data
13087,GA,Decatur County,No records,CDC ArboNET Tick Module historical data
13089,GA,DeKalb County,No records,CDC ArboNET Tick Module historical data
13091,GA,Dodge County,No records,CDC ArboNET Tick Module historical data
13093,GA,Dooly County,No records,CDC ArboNET Tick Module historical data
13095,GA,Dougherty County,No records,CDC ArboNET Tick Module historical data
13097,GA,Douglas County,No records,CDC ArboNET Tick Module historical data
13099,GA,Early County,No records,CDC ArboNET Tick Module historical data
13101,GA,Echols County,No records,CDC ArboNET Tick Module historical data
13103,GA,Effingham County,No records,CDC ArboNET Tick Module historical data
13105,GA,Elbert County,No records,CDC ArboNET Tick Module historical data
13107,GA,Emanuel County,No records,CDC ArboNET Tick Module historical data
13109,GA,Evans County,No records,CDC ArboNET Tick Module historical data
13111,GA,Fannin County,No records,CDC ArboNET Tick Module historical data
13113,GA,Fayette County,No records,CDC ArboNET Tick Module historical data
13115,GA,Floyd County,No records,CDC ArboNET Tick Module historical data
13117,GA,Forsyth County,No records,CDC ArboNET Tick Module historical data
13119,GA,Franklin County,No records,CDC ArboNET Tick Module historical data
13121,GA,Fulton County,No records,CDC ArboNET Tick Module historical data
13123,GA,Gilmer County,No records,CDC ArboNET Tick Module historical data
13125,GA,Glascock County,No records,CDC ArboNET Tick Module historical data
13127,GA,Glynn County,No records,CDC ArboNET Tick Module historical data
13129,GA,Gordon County,No records,CDC ArboNET Tick Module historical data
13131,GA,Grady County,No records,CDC ArboNET Tick Module historical data
13133,GA,Greene County,No records,CDC ArboNET Tick Module historical data
13135,GA,Gwinnett County,No records,CDC ArboNET Tick Module historical data
13137,GA,Habersham County,No records,CDC ArboNET Tick Module historical data
13139,GA,Hall County,No records,CDC ArboNET Tick Module historical data
13141,GA,Hancock County,No records,CDC ArboNET Tick Module historical data
13143,GA,Haralson County,No records,CDC ArboNET Tick Module historical data
13145,GA,Harris County,No records,CDC ArboNET Tick Module historical data
13147,GA,Hart County,No records,CDC ArboNET Tick Module historical data
13149,GA,Heard County,No records,CDC ArboNET Tick Module historical data
13151,GA,Henry County,No records,CDC ArboNET Tick Module historical data
13153,GA,Houston County,No records,CDC ArboNET Tick Module historical data
